0th instance:
Its attributes' values are: M, 0.53, 0.425, 0.13, 0.702, 0.2975, 0.1395, 0.22
Its lable's value is: 9
Label's Value #### Probability
      10             0.0815134
      11             0.0116731
      12             0.00784533
      13             0.00983257
      14             0.00624404
      15             0.0137675
      16             0.000959551
      17             0.000444058
      18             0.000580581
      19             0.000200322
      20             1.1952e-005
      21             7.5914e-005
      22             3.79925e-005
      23             8.14447e-005
      27             2.16261e-010
      3             0
      4             4.31134e-257
      5             2.98231e-051
      6             9.24871e-009
      7             0.00274516
      8             0.368591
      9             0.495397

1th instance:
Its attributes' values are: M, 0.53, 0.42, 0.135, 0.675, 0.294, 0.156, 0.1825
Its lable's value is: 10
Label's Value #### Probability
      10             0.0700206
      11             0.00995955
      12             0.00716712
      13             0.00838699
      14             0.00556699
      15             0.0117054
      16             0.000915412
      17             0.000424278
      18             0.000610909
      19             0.00016078
      20             1.17739e-005
      21             6.50341e-005
      22             3.63846e-005
      23             6.48796e-005
      27             1.96937e-010
      3             0
      4             6.80978e-244
      5             5.14243e-047
      6             3.59977e-008
      7             0.0053284
      8             0.416948
      9             0.462628

2th instance:
Its attributes' values are: I, 0.53, 0.395, 0.115, 0.475, 0.2025, 0.101, 0.148
Its lable's value is: 8
Label's Value #### Probability
      10             0.00108238
      11             0.000101388
      12             6.50003e-005
      13             0.00010234
      14             5.99083e-005
      15             3.43997e-005
      16             5.105e-006
      17             1.89029e-006
      18             1.98973e-006
      19             1.02416e-007
      20             2.20013e-009
      21             1.16042e-007
      22             1.06843e-007
      23             4.53524e-007
      27             2.12315e-014
      3             0
      4             5.96939e-119
      5             1.72487e-022
      6             0.00509031
      7             0.639574
      8             0.327234
      9             0.0266469

3th instance:
Its attributes' values are: I, 0.53, 0.41, 0.15, 0.612, 0.2435, 0.1525, 0.1895
Its lable's value is: 11
Label's Value #### Probability
      10             0.0188737
      11             0.00274904
      12             0.00146078
      13             0.00238909
      14             0.00156859
      15             0.001976
      16             0.000315854
      17             0.000113789
      18             0.000213119
      19             2.98792e-005
      20             4.18832e-006
      21             1.44528e-005
      22             1.43056e-005
      23             2.43646e-005
      27             1.88224e-010
      3             0
      4             9.76275e-213
      5             3.27319e-044
      6             4.69801e-007
      7             0.0147449
      8             0.709402
      9             0.246106

4th instance:
Its attributes' values are: I, 0.535, 0.4, 0.145, 0.705, 0.3065, 0.1365, 0.22
Its lable's value is: 10
Label's Value #### Probability
      10             0.0263984
      11             0.00377144
      12             0.00179064
      13             0.00311701
      14             0.00193821
      15             0.00311801
      16             0.000432888
      17             0.000140894
      18             0.000277402
      19             4.94108e-005
      20             7.54625e-006
      21             2.97851e-005
      22             1.60999e-005
      23             3.3007e-005
      27             1.33903e-010
      3             0
      4             6.44831e-259
      5             7.93412e-051
      6             3.25717e-008
      7             0.00526722
      8             0.634254
      9             0.319358

5th instance:
Its attributes' values are: I, 0.535, 0.45, 0.135, 0.728, 0.2845, 0.1845, 0.265
Its lable's value is: 9
Label's Value #### Probability
      10             0.0748742
      11             0.0131083
      12             0.00511605
      13             0.0098485
      14             0.00651537
      15             0.0126414
      16             0.00162231
      17             0.000704158
      18             0.00100131
      19             0.000222131
      20             4.1371e-005
      21             0.000138168
      22             6.46754e-005
      23             9.71131e-005
      27             5.46928e-009
      3             0
      4             0
      5             2.30498e-071
      6             1.90961e-011
      7             0.00019116
      8             0.326485
      9             0.547329

6th instance:
Its attributes' values are: F, 0.555, 0.44, 0.14, 0.846, 0.346, 0.1715, 0.2735
Its lable's value is: 10
Label's Value #### Probability
      10             0.193227
      11             0.0441306
      12             0.0293485
      13             0.0322515
